x,y
-10.0000,0.6295
-9.7500,0.1378
-9.5000,0.0781
-9.2500,0.0350
-9.0000,-0.5150
-8.7500,-0.8101
-8.5000,-0.6097
-8.2500,-0.8045
-8.0000,-1.2282
-7.7500,-1.0196
-7.5000,-0.6980
-7.2500,-0.8927
-7.0000,-0.8486
-6.7500,-0.3091
-6.5000,-0.1096
-6.2500,-0.1368
-6.0000,0.2764
-5.7500,0.6571
-5.5000,0.6149
-5.2500,0.7770
-5.0000,1.1111
-4.7500,0.9850
-4.5000,0.8107
-4.2500,1.0113
-4.0000,0.8883
-3.7500,0.3727
-3.5000,0.2949
-3.2500,0.3497
-3.0000,-0.1811
-2.7500,-0.6156
-2.5000,-0.4673
-2.2500,-0.5995
-2.0000,-1.1031
-1.7500,-1.0737
-1.5000,-0.7865
-1.2500,-0.9589
-1.0000,-1.0191
-0.7500,-0.5867
-0.5000,-0.3783
-0.2500,-0.3910
0.0000,0.0000
0.2500,0.3910
0.5000,0.3783
0.7500,0.5867
1.0000,1.0191
1.2500,0.9589
1.5000,0.7865
1.7500,1.0737
2.0000,1.1031
2.2500,0.5995
2.5000,0.4673
2.7500,0.6156
3.0000,0.1811
3.2500,-0.3497
3.5000,-0.2949
3.7500,-0.3727
4.0000,-0.8883
4.2500,-1.0113
4.5000,-0.8107
4.7500,-0.9850
5.0000,-1.1111
5.2500,-0.7770
5.5000,-0.6149
5.7500,-0.6571
6.0000,-0.2764
6.2500,0.1368
6.5000,0.1096
6.7500,0.3091
7.0000,0.8486
7.2500,0.8927
7.5000,0.6980
7.7500,1.0196
8.0000,1.2282
8.2500,0.8045
8.5000,0.6097
8.7500,0.8101
9.0000,0.5150
9.2500,-0.0350
9.5000,-0.0781
9.7500,-0.1378
10.0000,-0.6295
